id,observed_on,quality_grade,captive_cultivated,latitude,longitude,scientific_name,common_name
75596180,2021-04-28,research,false,38.9044485223,-121.0478973146,Battus philenor,Pipevine Swallowtail
75596539,2021-04-27,research,false,38.6573549298,-121.1901389435,Battus philenor,Pipevine Swallowtail
75600071,2021-04-28,research,false,29.3741159693,-100.8714481753,Battus philenor,Pipevine Swallowtail
75603224,2021-04-28,research,false,33.09135,-96.7012116667,Battus philenor,Pipevine Swallowtail
75610975,2021-04-18,research,false,35.4303231632,-94.9871063232,Battus philenor,Pipevine Swallowtail
75611371,2021-04-26,research,false,38.3506366667,-122.5152883333,Battus philenor,Pipevine Swallowtail
75614165,2021-04-11,research,false,30.86348,-86.835428,Battus philenor,Pipevine Swallowtail
75614179,2021-04-25,research,false,29.5736121889,-94.3902696268,Battus philenor,Pipevine Swallowtail
75615195,2021-04-28,research,false,32.87285,-97.1447083333,Battus philenor,Pipevine Swallowtail
75615551,2021-04-28,research,false,30.2843666667,-97.7803633333,Battus philenor,Pipevine Swallowtail
75617217,2021-04-25,research,false,34.1353153,-94.7019977,Battus philenor,Pipevine Swallowtail
75622264,2021-04-25,research,false,30.6691086199,-90.9583793821,Battus philenor,Pipevine Swallowtail
75624455,2021-04-28,research,false,38.41790125,-123.10446125,Battus philenor,Pipevine Swallowtail
75624515,2021-04-27,research,false,36.2564511784,-93.7048524222,Battus philenor,Pipevine Swallowtail
75652498,2021-04-29,research,false,18.8698692337,-98.4312012584,Battus philenor philenor,
75657897,2021-04-28,research,false,41.2648924045,-84.396253489,Battus philenor,Pipevine Swallowtail
75659844,2021-04-27,research,false,30.2355840838,-98.6332305851,Battus philenor,Pipevine Swallowtail
75661856,2021-04-28,research,false,30.3128694444,-98.2419805556,Battus philenor,Pipevine Swallowtail
75668147,2021-04-29,research,false,38.0670971667,-81.0819695,Battus philenor,Pipevine Swallowtail
75669403,2021-04-29,research,false,29.5956166667,-95.0716861667,Battus philenor,Pipevine Swallowtail
75677567,2021-04-29,research,false,27.827555,-97.0789195,Battus philenor,Pipevine Swallowtail
75679881,2021-04-28,research,false,38.5449833333,-122.5401616667,Battus philenor,Pipevine Swallowtail
75688000,2021-04-28,research,false,35.5259088,-82.9278864,Battus philenor,Pipevine Swallowtail
75690229,2017-07-02,research,false,34.0394647623,-111.3014984876,Battus philenor,Pipevine Swallowtail
75690895,2021-04-29,research,false,35.7684185,-98.2248457997,Battus philenor,Pipevine Swallowtail
75700601,2021-04-29,research,false,34.048146746,-97.0852659525,Battus philenor,Pipevine Swallowtail
75704111,2021-04-28,research,false,30.5672463253,-98.0863153375,Battus philenor,Pipevine Swallowtail
75704669,2021-04-23,research,false,29.3415095997,-100.8952505997,Battus philenor,Pipevine Swallowtail
75705432,2021-04-29,research,false,38.7151366667,-77.0159916667,Battus philenor,Pipevine Swallowtail
75713990,2020-08-07,research,false,35.48271895,-83.3025965,Battus philenor,Pipevine Swallowtail
75715301,2021-04-29,research,false,37.8735666667,-122.238245,Battus philenor hirsuta,California Pipevine Swallowtail
75723486,2021-04-29,research,false,30.277511911,-97.8056295589,Battus philenor,Pipevine Swallowtail
75727760,2021-04-29,research,false,30.5713323241,-84.1509632569,Battus philenor,Pipevine Swallowtail
75727884,2021-04-29,research,false,40.5941866667,-122.537445,Battus philenor,Pipevine Swallowtail
75736588,2021-04-26,research,false,29.39249064,-98.4953828033,Battus philenor,Pipevine Swallowtail
75737299,2021-04-26,research,false,38.82082,-120.95803,Battus philenor,Pipevine Swallowtail
75738006,2021-04-25,research,false,33.8405685751,-117.7643749863,Battus philenor,Pipevine Swallowtail
75746103,2021-03-15,research,false,33.76847795,-84.40244125,Battus philenor,Pipevine Swallowtail
75750268,2021-04-16,research,false,30.272466745,-98.4141082764,Battus philenor,Pipevine Swallowtail
75751410,2021-04-28,research,false,34.7955555556,-86.2399055556,Battus philenor,Pipevine Swallowtail
75753602,2021-04-27,research,false,30.2843028903,-97.7782187238,Battus philenor,Pipevine Swallowtail
75759982,2021-04-28,research,false,30.5805361334,-98.1901951325,Battus philenor,Pipevine Swallowtail
