id,observed_on,quality_grade,captive_cultivated,latitude,longitude,scientific_name,common_name
23266201,2019-04-26,research,false,36.0238323,-78.3541881,Limenitis archippus,Viceroy
23269572,2019-04-26,research,false,33.0697182417,-96.9587429619,Limenitis archippus,Viceroy
23282488,2019-04-26,research,false,33.0039329529,-96.8821640015,Limenitis archippus,Viceroy
23297504,2019-04-26,research,false,32.5271832,-97.3219897,Limenitis archippus,Viceroy
23301393,2019-04-20,research,false,29.4782878,-94.5799145,Limenitis archippus,Viceroy
23327581,2019-04-26,research,false,32.883341,-97.279952,Limenitis archippus,Viceroy
23494965,2019-04-27,research,false,32.6815980778,-97.3015590012,Limenitis archippus,Viceroy
23505271,2019-04-19,research,false,37.0518273366,-76.3975129277,Limenitis archippus,Viceroy
23509019,2019-04-27,research,false,32.9201889038,-97.3227996826,Limenitis archippus,Viceroy
23533731,2019-04-27,research,false,33.064027564,-96.9559255706,Limenitis archippus,Viceroy
23629424,2019-04-28,research,false,38.1763415964,-75.3899379367,Limenitis archippus,Viceroy
23639919,2019-04-27,research,false,32.8489532471,-97.4763031006,Limenitis archippus,Viceroy
23696149,2019-04-28,research,false,32.7123686073,-97.1731626547,Limenitis archippus,Viceroy
23699849,2019-04-28,research,false,38.8871416667,-77.1196971667,Limenitis archippus,Viceroy
23773807,2019-04-28,research,false,33.0843466227,-96.7026080914,Limenitis archippus,Viceroy
23775650,2019-04-28,research,false,32.8567866667,-96.98462,Limenitis archippus,Viceroy
23778820,2019-04-28,research,false,33.0640867231,-96.9564092271,Limenitis archippus,Viceroy
23780028,2019-04-28,research,false,35.9175935219,-78.9709126568,Limenitis archippus,Viceroy
23796703,2019-04-28,research,false,32.7958946228,-97.2002334595,Limenitis archippus,Viceroy
23797334,2019-04-28,research,false,33.0638516146,-96.9777351069,Limenitis archippus,Viceroy
23817583,2019-04-27,research,false,32.9676771,-97.0175751415,Limenitis archippus,Viceroy
23866046,2019-04-28,research,false,33.116691,-96.871568,Limenitis archippus,Viceroy
23937243,2019-04-27,research,false,32.83845455,-93.91556307,Limenitis archippus,Viceroy
23939686,2019-04-26,research,false,32.3117696815,-96.8543578306,Limenitis archippus,Viceroy
24052985,2019-04-29,research,false,35.9710883333,-78.4896083333,Limenitis archippus,Viceroy
24091765,2019-04-29,research,false,33.0632676098,-96.9921708943,Limenitis archippus,Viceroy
24093540,2019-04-29,research,false,33.1261314347,-86.8430877546,Limenitis archippus,Viceroy
24107444,2019-04-29,research,false,29.7692786111,-95.4482230556,Limenitis archippus,Viceroy
24117480,2019-04-28,research,false,33.06209,-96.97958,Limenitis archippus,Viceroy
24179194,2019-04-27,research,false,33.0600783333,-96.962985,Limenitis archippus,Viceroy
24194225,2019-04-26,research,false,35.2299161118,-80.5117475649,Limenitis archippus,Viceroy
24210265,2019-04-30,research,false,32.6491755294,-97.0960232523,Limenitis archippus,Viceroy
24221288,2019-04-26,research,false,33.25619,-97.045455,Limenitis archippus,Viceroy
24230615,2019-04-30,research,false,36.3802879,-75.8307777,Limenitis archippus,Viceroy
24249847,2019-04-27,research,false,30.5065648646,-97.6879649499,Limenitis archippus,Viceroy
24256773,2019-04-28,research,false,32.6613599536,-97.2224378824,Limenitis archippus,Viceroy
24288329,2019-04-26,research,false,32.5296450212,-97.3608770111,Limenitis archippus,Viceroy
24314621,2019-04-23,research,false,27.9164776216,-81.9477173463,Limenitis archippus,Viceroy
24323868,2019-04-29,research,false,33.0601066667,-96.9623516667,Limenitis archippus,Viceroy
24341459,2019-04-28,research,false,38.986405,-77.2456666667,Limenitis archippus,Viceroy
24364733,2019-05-02,research,false,32.29500915,-97.6268216,Limenitis archippus,Viceroy
24366593,2019-04-29,research,false,33.0636253333,-96.9595991111,Limenitis archippus,Viceroy
24417273,2019-05-02,research,false,28.5100702953,-81.0707391053,Limenitis archippus,Viceroy
24419361,2019-04-27,research,false,33.0176006688,-97.0033629643,Limenitis archippus,Viceroy
24420590,2019-04-26,research,false,27.5902249003,-81.0716178641,Limenitis archippus,Viceroy
24421421,2019-04-28,research,false,32.70685,-96.706125,Limenitis archippus,Viceroy
24423279,2019-04-28,research,false,32.7045055556,-96.7050638889,Limenitis archippus,Viceroy
24424342,2019-04-28,research,false,32.7020472222,-96.7057361111,Limenitis archippus,Viceroy
24480391,2019-05-03,research,false,33.0678385113,-96.9634127286,Limenitis archippus,Viceroy
24483536,2019-04-28,research,false,32.5365722633,-96.5858667038,Limenitis archippus,Viceroy
24536972,2019-04-26,research,false,32.5284798417,-97.3584491579,Limenitis archippus,Viceroy
24557396,2019-04-26,research,false,32.89216,-97.35317,Limenitis archippus,Viceroy
24562827,2019-04-26,research,false,32.89225,-97.3539116667,Limenitis archippus,Viceroy
24616925,2019-05-05,research,false,26.1229735,-80.6176959,Limenitis archippus,Viceroy
24622982,2019-04-28,research,false,32.784533303,-97.1209735677,Limenitis archippus,Viceroy
24623292,2019-04-28,research,false,32.784647221,-97.1252485051,Limenitis archippus,Viceroy
24637066,2019-05-05,research,false,32.7633533333,-96.9866133333,Limenitis archippus,Viceroy
24643533,2019-05-05,research,false,33.0681771725,-96.9564751424,Limenitis archippus,Viceroy
24678431,2019-05-06,research,false,28.5708696395,-80.9982941487,Limenitis archippus,Viceroy
24678735,2019-05-06,research,false,28.5821024794,-81.0061287974,Limenitis archippus,Viceroy
24681437,2019-05-06,research,false,33.8452302611,-98.6094688938,Limenitis archippus,Viceroy
24683177,2019-05-06,research,false,28.072725,-82.3830866667,Limenitis archippus,Viceroy
24734710,2019-04-03,research,false,30.1511166,-84.1466709,Limenitis archippus floridensis,Florida Viceroy
24747024,2019-05-07,research,false,34.115624,-93.103893,Limenitis archippus,Viceroy
24751172,2019-05-07,research,false,35.9447883333,-78.9211366667,Limenitis archippus,Viceroy
24759065,2019-05-07,research,false,33.0740470886,-97.2725982666,Limenitis archippus,Viceroy
24761748,2019-04-28,research,false,32.78822,-97.1208066667,Limenitis archippus,Viceroy
24810506,2019-05-08,research,false,33.16195353,-96.6184633,Limenitis archippus,Viceroy
24810515,2019-05-08,research,false,33.1619340554,-96.6184473877,Limenitis archippus,Viceroy
24812496,2019-05-08,research,false,25.75273,-80.7664616667,Limenitis archippus,Viceroy
24818091,2019-05-08,research,false,33.1618993962,-96.6183136963,Limenitis archippus,Viceroy
24890249,2019-05-09,research,false,33.0648783333,-96.9525616667,Limenitis archippus,Viceroy
24904466,2019-05-09,research,false,33.0648866667,-96.9525116667,Limenitis archippus,Viceroy
24905223,2019-05-08,research,false,33.1619445,-96.6183383333,Limenitis archippus,Viceroy
24952911,2019-05-11,research,false,38.9119412929,-76.964647873,Limenitis archippus,Viceroy
24959653,2019-05-04,research,false,35.807713,-78.60836,Limenitis archippus,Viceroy
24962576,2019-05-11,research,false,33.0173149109,-97.1088562012,Limenitis archippus,Viceroy
25017319,2019-05-12,research,false,33.0615883085,-97.0855822676,Limenitis archippus,Viceroy
25028255,2019-05-12,research,false,29.5831616667,-89.8214333333,Limenitis archippus,Viceroy
25034877,2019-05-04,research,false,28.669308362,-81.5757614612,Limenitis archippus,Viceroy
25035463,2019-05-12,research,false,28.2857690079,-82.0554961012,Limenitis archippus,Viceroy
25038260,2019-05-10,research,false,43.5607701866,-73.0744010805,Limenitis archippus,Viceroy
25059763,2019-05-13,research,false,42.9074030556,-72.2730556504,Limenitis archippus,Viceroy
25079325,2019-05-13,research,false,33.0638184394,-96.9568657461,Limenitis archippus,Viceroy
25104149,2019-05-14,research,false,26.1112245871,-80.2370517981,Limenitis archippus floridensis,Florida Viceroy
25116954,2019-05-14,research,false,35.4965766914,-82.6092849725,Limenitis archippus,Viceroy
25118429,2019-05-12,research,false,32.5880616667,-97.0994111667,Limenitis archippus,Viceroy
