id,observed_on,quality_grade,latitude,longitude,place_town_name,place_county_name,place_state_name,scientific_name,common_name
357443,2013-08-02,research,33.301467,-87.482064,,Tuscaloosa,Alabama,Limenitis arthemis astyanax,Red-spotted Purple
357757,2013-08-05,research,35.894309,-78.579975,,Wake,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
359601,2013-08-04,research,39.3603172302,-76.8857574463,,Carroll,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
361560,2013-08-10,research,42.4062083333,-71.3316116667,,Middlesex,Massachusetts,Limenitis arthemis astyanax,Red-spotted Purple
362566,2013-05-25,research,36.435726,-79.950048,,Rockingham,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
369476,2013-08-17,research,41.4391860962,-79.0651245117,,Forest,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
386179,2013-09-01,research,38.943575,-76.697548,,Prince George's,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
394938,2013-09-06,research,38.9446258545,-76.6964187622,,Prince George's,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
395685,2013-08-11,research,37.920699,-75.473293,,Accomack,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
395707,2013-09-08,research,39.2470436096,-76.8219833374,,Howard,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
400131,2013-09-14,research,39.0722122192,-76.7746047974,,Anne Arundel,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
400245,2013-09-16,research,35.513243,-93.326205,,Johnson,Arkansas,Limenitis arthemis astyanax,Red-spotted Purple
401889,2013-08-26,research,38.924397,-76.193676,,Queen Anne's,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
406293,2010-07-06,research,40.870251,-81.344115,,Stark,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
411695,2013-09-21,research,34.487103,-79.196542,,Robeson,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
411850,2013-09-23,research,34.487218,-79.195292,,Robeson,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
411879,2013-09-27,research,34.485351,-79.195156,,Robeson,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
419757,2013-10-06,research,38.953202,-75.934753,,Caroline,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
420264,2013-10-05,research,38.947829,-76.229016,,Queen Anne's,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
420348,2013-10-06,research,38.953169,-75.936286,,Caroline,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
433077,2013-05-25,research,39.066444,-76.782651,,Anne Arundel,Maryland,Limenitis arthemis astyanax,Red-spotted Purple
464003,2006-07-29,research,40.796037,-77.903759,,Centre,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
467319,2008-07-23,research,37.559682,-88.967,,Johnson,Illinois,Limenitis arthemis astyanax,Red-spotted Purple
481337,2013-09-10,research,40.99339,-78.167234,,Clearfield,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
503550,2013-08-14,research,35.959101,-79.08414,,Orange,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
531145,2013-07-13,research,38.913292,-76.942179,,District of Columbia,District of Columbia,Limenitis arthemis astyanax,Red-spotted Purple
533173,2013-05-26,research,40.439764,-79.899558,Pittsburgh,Allegheny,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
536071,2012-09-01,research,38.754501,-77.105119,,Fairfax,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
545388,2012-05-27,research,41.565849,-79.383302,,Forest,Pennsylvania,Limenitis arthemis astyanax,Red-spotted Purple
555867,2011-07-31,research,44.838632,-91.954278,,Dunn,Wisconsin,Limenitis arthemis astyanax,Red-spotted Purple
556828,2012-08-30,research,38.797711,-77.291479,,Fairfax,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
561802,2013-09-16,research,39.345467,-84.560319,,Butler,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
564926,2007-03-30,research,32.690676,-94.17768,,Harrison,Texas,Limenitis arthemis astyanax,Red-spotted Purple
565156,2010-04-23,research,34.61637,-80.227936,,Chesterfield,South Carolina,Limenitis arthemis astyanax,Red-spotted Purple
566391,2013-07-30,research,41.708964,-88.090399,,Will,Illinois,Limenitis arthemis astyanax,Red-spotted Purple
595104,2008-05-31,research,35.191013,-82.623614,,Transylvania,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
626953,2012-06-23,research,43.066871,-87.890565,,Milwaukee,Wisconsin,Limenitis arthemis astyanax,Red-spotted Purple
653686,2011-08-10,research,35.63455,-77.420868,,Pitt,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
674634,2014-05-12,research,35.545738,-82.474239,,Buncombe,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
677715,2012-08-25,research,39.6193333333,-84.0936666667,,Greene,Ohio,Limenitis arthemis astyanax,Red-spotted Purple
680756,2014-05-16,research,35.545411,-82.473187,,Buncombe,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
691116,2014-05-21,research,35.204006,-82.617853,,Transylvania,North Carolina,Limenitis arthemis astyanax,Red-spotted Purple
693112,2014-05-18,research,38.833172,-77.070023,,Alexandria,Virginia,Limenitis arthemis astyanax,Red-spotted Purple
698216,2014-05-24,research,41.43285,-71.670493,,Washington,Rhode Island,Limenitis arthemis astyanax,Red-spotted Purple
700196,2014-05-26,research,33.3306383333,-86.0080722167,,Talladega,Alabama,Limenitis arthemis astyanax,Red-spotted Purple
