"","avg_elevation","latitudinal_bin"
"1",184.741273516643,29
"2",259.599852503214,30
"3",244.093640750406,31
"4",257.506924649708,32
"5",272.38795462878,33
"6",303.431030490989,34
"7",369.76879016485,35
"8",415.849110606256,36
"9",445.446968750469,37
"10",429.181202685401,38
"11",416.129059506349,39
"12",409.223178770976,40
"13",420.781209079005,41
"14",437.982027942514,42
"15",404.114549597069,43
"16",405.632803854226,44
